name,district,taluka,facility_type,latitude,longitude,emergency_beds,icu_beds,trauma_capacity,ownership,status,source_name,source_url,trust_level,last_verified
Multan Medical Center 01 (DEMO),Multan,Multan,General Hospital,30.148434,71.504854,25,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Multan General Hospital 02 (DEMO),Multan,Multan,General Hospital,30.146844,71.541388,25,4,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Multan Trauma Center 03 (DEMO),Multan,Multan,Trauma Center,30.132763,71.503861,40,12,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Gujranwala General Hospital 01 (DEMO),Gujranwala,Gujranwala,General Hospital,32.19014,74.205862,80,6,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Gujranwala Central Hospital 02 (DEMO),Gujranwala,Gujranwala,Tertiary Care Hospital,32.174582,74.175592,80,8,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Gujranwala Trauma Center 03 (DEMO),Gujranwala,Gujranwala,Trauma Center,32.193841,74.17264,60,20,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Sialkot Central Hospital 01 (DEMO),Sialkot,Sialkot,Tertiary Care Hospital,32.498252,74.533827,60,12,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Sialkot Trauma Center 02 (DEMO),Sialkot,Sialkot,Trauma Center,32.487141,74.526433,20,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Sialkot Central Hospital 03 (DEMO),Sialkot,Sialkot,Tertiary Care Hospital,32.472884,74.524203,50,8,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Bahawalpur Trauma Center 01 (DEMO),Bahawalpur,Bahawalpur,Trauma Center,29.372777,71.677944,80,10,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Bahawalpur Medical Center 02 (DEMO),Bahawalpur,Bahawalpur,General Hospital,29.388455,71.661978,60,4,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Bahawalpur Central Hospital 03 (DEMO),Bahawalpur,Bahawalpur,Tertiary Care Hospital,29.407359,71.675226,80,12,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Sargodha Medical Center 01 (DEMO),Sargodha,Sargodha,General Hospital,32.099275,72.654854,50,8,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Sargodha Trauma Center 02 (DEMO),Sargodha,Sargodha,Trauma Center,32.099175,72.649255,60,6,HIGH,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Sargodha Central Hospital 03 (DEMO),Sargodha,Sargodha,Tertiary Care Hospital,32.06079,72.656073,30,6,HIGH,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Dera Ghazi Khan Medical Center 01 (DEMO),Dera Ghazi Khan,Dera Ghazi Khan,General Hospital,30.051011,70.65057,30,12,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Dera Ghazi Khan Medical Center 02 (DEMO),Dera Ghazi Khan,Dera Ghazi Khan,General Hospital,30.063445,70.624106,20,20,MEDIUM,Public,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
Dera Ghazi Khan Medical Center 03 (DEMO),Dera Ghazi Khan,Dera Ghazi Khan,General Hospital,30.071067,70.631648,30,4,MEDIUM,Private,OPERATIONAL,Synthetic national hospital network - Punjab,N/A - dummy data,DEMO,N/A (synthetic)
